Time,Action,Price,PnL_Trailing
2024-03-01 00:27:00,BUY,61628.57,
2024-03-01 02:08:00,SELL,61046.01,-582.5599999999977
2024-03-01 02:53:00,BUY,60961.69,
2024-03-01 14:34:00,SELL,61980.0,1018.3099999999977
2024-03-01 14:51:00,BUY,61924.45,
2024-03-01 15:38:00,SELL,61504.7,-419.75
2024-03-01 16:06:00,BUY,61461.1,
2024-03-01 21:04:00,SELL,62381.1,920.0
2024-03-01 21:14:00,BUY,62721.76,
2024-03-02 00:15:00,SELL,62213.31,-508.45000000000437
2024-03-02 00:22:00,BUY,62356.3,
2024-03-02 05:18:00,SELL,61768.47,-587.8300000000017
2024-03-02 05:43:00,BUY,61948.0,
2024-03-02 14:03:00,SELL,61603.26,-344.73999999999796
2024-03-02 14:15:00,BUY,61779.67,
2024-03-03 07:27:00,SELL,61507.74,-271.9300000000003
2024-03-03 07:48:00,BUY,61646.21,
2024-03-04 00:47:00,SELL,63362.0,1715.7900000000009
2024-03-04 01:01:00,BUY,63641.11,
2024-03-04 02:10:00,SELL,63100.01,-541.0999999999985
2024-03-04 02:25:00,BUY,63488.0,
2024-03-04 05:38:00,SELL,63223.98,-264.0199999999968
2024-03-04 05:48:00,BUY,63341.09,
2024-03-04 09:05:00,SELL,64784.0,1442.9100000000035
2024-03-04 09:25:00,BUY,65116.4,
2024-03-04 10:10:00,SELL,64845.0,-271.40000000000146
2024-03-04 10:23:00,BUY,65067.99,
2024-03-04 14:03:00,SELL,64736.07,-331.91999999999825
2024-03-04 14:22:00,BUY,65138.89,
2024-03-04 18:11:00,SELL,66681.1,1542.2100000000064
2024-03-04 18:42:00,BUY,66493.07,
2024-03-04 21:18:00,SELL,67018.21,525.1399999999994
2024-03-04 21:32:00,BUY,67054.67,
2024-03-04 23:27:00,SELL,67752.71,698.0400000000081
2024-03-04 23:40:00,BUY,67980.0,
2024-03-05 02:16:00,SELL,67960.46,-19.539999999993597
2024-03-05 02:25:00,BUY,68207.4,
2024-03-05 03:12:00,SELL,67590.76,-616.6399999999994
2024-03-05 03:29:00,BUY,67987.81,
2024-03-05 04:43:00,SELL,67670.49,-317.31999999999243
2024-03-05 05:17:00,BUY,66727.85,
2024-03-05 07:33:00,SELL,66735.8,7.94999999999709
2024-03-05 08:21:00,BUY,66448.0,
2024-03-05 09:49:00,SELL,66167.16,-280.8399999999965
2024-03-05 10:03:00,BUY,66551.77,
2024-03-05 14:24:00,SELL,67282.27,730.5
2024-03-05 14:38:00,BUY,67687.17,
2024-03-05 15:05:00,SELL,67597.08,-90.08999999999651
2024-03-05 15:46:00,BUY,67181.1,
2024-03-05 16:02:00,SELL,66562.57,-618.5299999999988
2024-03-05 16:31:00,BUY,65999.29,
2024-03-05 16:39:00,SELL,65335.78,-663.5099999999948
2024-03-05 17:21:00,BUY,64662.65,
2024-03-05 18:18:00,SELL,64901.11,238.45999999999913
2024-03-05 18:35:00,BUY,64750.0,
2024-03-05 18:50:00,SELL,64099.99,-650.010000000002
2024-03-05 19:02:00,BUY,64213.23,
2024-03-05 19:09:00,SELL,63557.76,-655.4700000000012
2024-03-05 19:31:00,BUY,63261.11,
