CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,85,9,14,-,"1,720.00",-115.35,"1,125","1,681.10","1,700.90",225,"21,100.00","14,925",1.00,1.05,150,-0.15,1.00,23.75,"3,88,108","17,120","79,914",
,2,-,-,-,"1,867.25",-,"1,725","1,560.80","1,720.90","1,125","21,150.00","18,225",1.00,1.10,150,-0.15,1.10,23.36,"85,084","2,666","9,535",
,21,-,-,-,"1,705.00",-,"1,125","1,512.70","1,671.35","1,125","21,200.00","22,575",1.10,1.20,"1,575",-0.20,1.10,22.71,"1,04,928","3,858","28,933",
,3,-,-,-,"1,768.50",-,"1,125","1,464.85","1,620.90","1,125","21,250.00","17,550",1.10,1.40,75,-0.05,1.35,22.59,"45,275","1,571","11,059",
,2,-,-,-,"1,599.75",-,"1,125","1,416.75","1,570.00","1,725","21,300.00","15,450",1.30,1.50,"16,650",-,1.45,22.11,"1,50,706","7,350","33,000",
,5,-,-,-,"1,684.55",-,"1,125","1,334.40","1,513.35","1,125","21,350.00","9,150",1.20,1.95,"5,700",-0.25,1.30,21.18,"42,142",542,"3,228",
,10,-,2,-,"1,384.45",-206.55,"1,125","1,359.15","1,445.15","1,125","21,400.00","1,575",1.60,1.90,"2,625",-,1.60,21.04,"1,83,313","26,224","47,116",
,8,-,-,-,"1,547.20",-,"1,125","1,285.85","1,418.55","1,125","21,450.00","4,650",1.50,1.95,300,0.25,1.95,20.87,"63,351",75,"2,328",
,"6,659","-1,077","1,636",-,"1,301.65",-139.70,225,"1,289.85","1,300.10",75,"21,500.00",600,1.65,1.80,300,-0.05,1.80,19.99,"3,64,811","7,338","69,862",
,18,-,-,-,"1,484.80",-0.30,"1,125","1,176.70","1,318.40","1,125","21,550.00","1,200",1.90,2.10,75,-,1.90,19.44,"68,962","1,761","3,699",
,60,4,33,-,"1,202.25",-133.00,"1,125","1,159.95","1,203.95",375,"21,600.00","1,050",2.00,2.25,900,0.30,2.25,18.88,"1,79,529","5,630","23,507",
,2,-,-,-,"1,383.80",4.95,"1,125","1,081.00","1,220.00","1,125","21,650.00",825,2.00,2.80,"2,550",0.05,2.15,18.37,"1,22,677","3,747","8,038",
,17,1,5,-,"1,084.00",-148.00,900,"1,090.60","1,103.10",525,"21,700.00",75,2.70,2.75,"2,550",0.20,2.50,18.04,"3,88,269","21,554","38,760",
,2,-,-,-,"1,290.30",3.80,"1,125",997.65,"1,100.30","1,125","21,750.00",450,2.20,3.40,450,-0.35,2.25,17.08,"1,83,468","3,914","9,692",
,57,37,271,-,"1,006.00",-134.00,225,992.60,"1,002.85",75,"21,800.00","2,025",2.75,3.50,975,-0.10,2.75,16.85,"5,64,656","15,047","44,916",
,16,-,-,-,"1,187.60",4.05,"1,200",902.45,"1,000.20","1,125","21,850.00",150,3.05,4.00,"2,250",-0.20,3.05,16.37,"2,77,369","6,093","12,627",
,36,2,8,-,929.75,-121.25,900,892.60,903.40,150,"21,900.00",150,3.75,4.00,975,0.10,4.00,16.31,"4,13,960","11,195","33,311",
,13,5,20,18.01,891.20,-97.55,"1,200",843.25,854.80,150,"21,950.00",300,4.20,4.50,"1,875",-0.30,4.20,15.91,"2,35,605","8,402","13,681",
,"10,622",-461,"4,932",-,803.50,-143.95,600,800.00,804.55,225,"22,000.00",225,5.35,5.90,750,0.50,5.90,15.79,"9,87,693","7,053","1,23,865",
,11,5,11,-,768.00,-132.00,375,746.95,756.00,150,"22,050.00","1,200",6.40,6.80,825,0.65,6.80,15.38,"3,06,833","5,049","11,945",
,123,65,223,-,718.70,-130.20,"1,200",697.20,706.65,75,"22,100.00","1,125",7.70,8.00,"1,125",0.30,7.70,14.91,"5,01,048","5,687","30,413",
,41,27,124,-,673.50,-122.90,75,650.15,658.70,600,"22,150.00","1,125",9.30,9.80,"1,200",0.65,9.40,14.65,"3,58,556","1,041","9,252",
,606,223,"1,596",-,607.40,-143.40,75,603.50,609.85,225,"22,200.00","1,200",11.40,11.80,600,0.50,11.25,14.32,"6,83,148","5,694","41,232",
,197,147,595,-,571.80,-130.50,75,556.40,563.20,75,"22,250.00",600,14.00,14.50,600,1.00,14.00,14.12,"4,06,771","8,064","14,812",
,955,522,"5,079",-,510.35,-145.60,150,509.85,516.00,675,"22,300.00",300,17.45,17.90,"1,200",2.35,18.00,14.05,"10,68,409","32,636","96,416",
,334,254,"1,465",-,476.65,-135.35,225,465.40,471.35,375,"22,350.00",675,22.35,22.90,975,3.95,23.20,13.97,"4,67,953","6,572","13,042",
,"1,051",205,"8,795",-,424.00,-140.85,150,421.60,425.65,75,"22,400.00",450,28.40,28.80,675,4.75,28.40,13.81,"9,10,407","23,855","48,113",
,438,241,"2,649",-,381.40,-141.05,75,380.00,383.60,150,"22,450.00",525,35.40,36.00,"1,200",6.65,35.40,13.70,"5,08,945","10,589","17,334",
,"9,265",327,"72,207",7.17,337.70,-137.95,300,337.65,341.95,150,"22,500.00","1,950",44.00,44.40,975,9.35,44.35,13.74,"14,46,652","36,645","1,10,004",
,767,413,"14,829",8.94,301.15,-130.90,225,298.60,304.45,75,"22,550.00",450,54.60,55.50,525,12.15,54.60,13.58,"5,36,938","4,154","11,032",
,"6,045","3,806","99,606",9.40,262.95,-130.15,300,261.45,266.75,75,"22,600.00",75,67.60,68.05,300,16.85,68.00,13.68,"11,63,375","16,791","50,995",
,"1,725","1,234","64,132",9.77,227.70,-124.00,300,227.10,231.15,150,"22,650.00",900,82.45,83.85,"1,275",21.35,83.25,13.63,"7,30,928","5,139","12,182",
,"13,896","9,549","4,68,504",10.32,195.00,-119.30,75,197.75,199.80,300,"22,700.00",75,100.85,101.30,975,26.75,100.85,13.64,"17,37,982","16,841","53,891",
