CALLS,PUTS,OI_CALL,CHNG_IN_OI_CALL,VOLUME_CALL,IV_CALL,LTP_CALL,CHNG_CALL,BID_QTY_CALL,BID_CALL,ASK_CALL,ASK_QTY_CALL,STRIKE,BID_QTY_PUT,BID_PUT,ASK_PUT,ASK_QTY_PUT,CHNG_PUT,LTP_PUT,IV_PUT,VOLUME_PUT,CHNG_IN_OI_PUT,OI_PUT
,-,0.0,0.0,0.0,0.0,0.0,1125.0,1568.0,1907.45,1725.0,20800.0,"1,87,050",0.3,0.4,2250.0,-18.75,0.4,38.53,228278.0,13232.0,13232.0,
,-,0.0,0.0,0.0,0.0,0.0,1125.0,1508.8,1861.2,1725.0,20850.0,"6,600",0.35,0.4,7800.0,-20.3,0.4,37.49,14289.0,975.0,975.0,
,-,0.0,0.0,0.0,0.0,0.0,1125.0,1517.1,1801.8,1125.0,20900.0,"37,800",0.3,0.9,1350.0,-22.0,0.3,35.5,27040.0,1137.0,1137.0,
,-,0.0,0.0,0.0,0.0,0.0,1125.0,1423.35,1753.6,1725.0,20950.0,"23,475",0.4,0.95,1500.0,-23.65,0.4,35.42,11454.0,591.0,591.0,
,7,7.0,15.0,65.64,1591.85,-1726.95,1125.0,1479.7,1622.4,1125.0,21000.0,"2,700",0.45,0.9,825.0,-25.05,0.9,34.77,68950.0,3985.0,3985.0,
,-,0.0,0.0,0.0,0.0,0.0,1125.0,1472.2,1572.7,1125.0,21050.0,"12,750",0.35,0.45,75.0,-0.35,0.45,32.92,223870.0,122.0,32025.0,
,40,-30.0,52.0,64.94,1498.25,-21.1,600.0,1456.9,1474.3,300.0,21100.0,"71,175",0.55,0.6,81600.0,-0.45,0.6,34.18,158017.0,-13686.0,65344.0,
,2,0.0,0.0,0.0,1867.25,0.0,1125.0,1126.05,1543.85,1125.0,21150.0,"1,125",0.6,1.25,1500.0,-0.55,0.6,32.56,58460.0,-5576.0,6287.0,
,12,-9.0,11.0,61.62,1398.8,-306.2,150.0,1363.05,1375.45,150.0,21200.0,225,0.6,0.85,2925.0,-0.55,0.6,31.49,87865.0,-3868.0,28652.0,
,1,0.0,0.0,0.0,1350.0,0.0,1125.0,1044.15,1371.85,1125.0,21250.0,"3,000",0.9,1.15,600.0,-0.15,1.15,32.83,62115.0,-872.0,9300.0,
,3,0.0,0.0,0.0,1324.55,0.0,1125.0,1229.85,1322.4,1125.0,21300.0,675,0.75,1.0,975.0,-0.3,1.0,31.02,112512.0,-3386.0,31365.0,
,5,0.0,0.0,0.0,1684.55,0.0,1125.0,967.3,1494.9,1125.0,21350.0,225,1.1,1.15,600.0,-0.25,1.1,30.23,50465.0,192.0,4646.0,
,6,-1.0,1.0,56.65,1205.0,-40.0,1125.0,1120.0,1175.15,150.0,21400.0,"1,125",1.15,1.25,300.0,-0.3,1.15,29.24,212042.0,-2921.0,52766.0,
,8,0.0,0.0,0.0,1131.45,0.0,1125.0,1066.85,1164.4,1125.0,21450.0,"1,725",1.0,1.65,150.0,-0.45,1.0,27.79,56886.0,4.0,4153.0,
,"3,525",-1845.0,3125.0,35.86,1067.4,-46.35,375.0,1067.5,1073.05,75.0,21500.0,"14,100",1.15,1.4,53325.0,-0.4,1.25,27.48,354510.0,-29453.0,51046.0,
,17,-1.0,6.0,50.54,1053.35,-431.75,1125.0,974.55,1026.55,75.0,21550.0,"1,800",0.95,1.65,300.0,-0.75,0.95,24.89,79175.0,-1016.0,4728.0,
,44,-7.0,20.0,37.08,974.0,-62.9,300.0,964.45,1010.75,1125.0,21600.0,"6,600",1.3,1.45,300.0,-0.35,1.45,25.02,200090.0,-5127.0,22306.0,
,2,0.0,0.0,0.0,1383.8,4.95,1125.0,867.4,961.3,1125.0,21650.0,675,1.6,1.7,300.0,-0.35,1.6,24.5,251812.0,18233.0,25765.0,
,118,99.0,504.0,32.38,871.15,-72.9,1650.0,861.85,874.85,150.0,21700.0,675,1.7,1.95,225.0,-0.4,1.7,23.49,385794.0,11195.0,60269.0,
,2,0.0,0.0,0.0,1290.3,3.8,1125.0,767.85,861.35,1125.0,21750.0,150,1.55,1.95,150.0,-0.25,1.95,22.7,142827.0,3646.0,14738.0,
